,user_id,avg_time_difference,avg_time_difference_in_min,avg_time_difference_in_hours,followers_count,retweet_count,sentiment_score,sentiment,extreme_user
8307,1262668150182514688,0 days 00:01:03.533333333,1.05,0.018,88,40,1,positive,1
8308,1262669308070711297,0 days 00:00:06.000000000,0.1,0.002,49,31,0,neutral,1
8309,1262675619369934849,0 days 13:05:24.500000000,785.4,13.09,82,2,2,positive,0
8310,1262675842704068608,0 days 03:48:32.666666666,228.53,3.809,32,2,3,positive,0
8311,1262687162664771584,0 days 00:40:00.750000000,40.0,0.667,80,50,0,neutral,1
8312,1262704778947096579,0 days 03:57:53.700000000,237.88,3.965,1076,17,1,positive,0
8313,1262713117903073281,0 days 00:32:56.583333333,32.93,0.549,106,55,6,positive,1
8314,1262719654960693250,0 days 04:55:56.666666666,295.93,4.932,27,1,0,neutral,0
8315,1262725356370497536,0 days 13:06:42.000000000,786.7,13.112,32,23,3,positive,0
8316,1262744747589812226,0 days 00:30:00.428571428,30.0,0.5,260,54,3,positive,1
